time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2017-01-01 00:00:00,5.4,5.0,97.0,,,100.0,0.0,,1023.0,,5.0
2017-01-01 01:00:00,6.0,5.0,93.0,,,90.0,5.4,,1024.0,,5.0
2017-01-01 02:00:00,6.0,5.0,93.0,,,100.0,7.6,,1025.0,,5.0
2017-01-01 03:00:00,7.8,7.7,99.0,,,,0.0,,1024.0,,5.0
2017-01-01 04:00:00,10.0,7.9,87.0,,,200.0,3.6,,1024.0,,5.0
2017-01-01 05:00:00,12.0,8.1,77.0,,,,3.6,,1023.0,,7.0
2017-01-01 06:00:00,11.8,8.6,81.0,,,180.0,5.4,,1022.0,,7.0
2017-01-01 07:00:00,12.0,6.9,71.0,,,290.0,3.6,,1021.0,,
2017-01-01 08:00:00,11.0,5.9,71.0,,,260.0,9.4,,1020.0,,
2017-01-01 09:00:00,11.0,6.5,74.0,,,110.0,0.0,,1021.0,,
2017-01-01 10:00:00,13.0,5.9,62.0,,,190.0,7.6,,1021.0,,7.0
2017-01-01 11:00:00,12.0,6.1,67.0,,,110.0,5.4,,1021.0,,
2017-01-01 12:00:00,11.0,8.6,85.0,,,170.0,0.0,,1022.0,,5.0
2017-01-01 13:00:00,10.0,7.1,82.0,,,,3.6,,,,
2017-01-01 14:00:00,9.0,7.0,87.0,,,170.0,5.4,,1023.0,,
2017-01-01 15:00:00,8.2,6.0,86.0,,,100.0,0.0,,1023.0,,5.0
2017-01-01 16:00:00,8.0,6.0,87.0,,,140.0,5.4,,1023.0,,5.0
2017-01-01 17:00:00,6.0,5.0,93.0,,,100.0,9.4,,1023.0,,5.0
2017-01-01 18:00:00,5.4,5.4,100.0,,,90.0,5.4,,1022.0,,5.0
2017-01-01 19:00:00,5.0,4.0,93.0,,,110.0,5.4,,1022.0,,5.0
2017-01-01 20:00:00,5.0,4.0,93.0,,,100.0,5.4,,1021.0,,5.0
2017-01-01 21:00:00,4.4,3.4,93.0,,,90.0,5.4,,1021.0,,5.0
2017-01-01 22:00:00,4.0,3.0,93.0,,,90.0,5.4,,1022.0,,5.0
2017-01-01 23:00:00,4.0,3.0,93.0,,,80.0,5.4,,1022.0,,5.0
2017-01-02 00:00:00,3.0,3.0,100.0,,,100.0,5.4,,1023.0,,5.0
2017-01-02 01:00:00,3.0,3.0,100.0,,,110.0,5.4,,1024.0,,5.0
2017-01-02 02:00:00,3.0,3.0,100.0,,,120.0,3.6,,,,
2017-01-02 03:00:00,4.2,3.8,97.0,,,,0.0,,1024.0,,5.0
2017-01-02 04:00:00,10.0,6.0,76.0,,,,0.0,,1023.0,,5.0
2017-01-02 05:00:00,12.0,6.1,67.0,,,90.0,3.6,,1021.0,,
2017-01-02 06:00:00,16.4,7.1,54.0,,,180.0,0.0,,1021.0,,
2017-01-02 07:00:00,17.0,5.0,45.0,,,90.0,5.4,,1020.0,,
2017-01-02 08:00:00,16.0,5.9,51.0,,,180.0,14.8,,1021.0,,
2017-01-02 09:00:00,16.4,5.7,49.0,,,250.0,0.0,,1021.0,,
2017-01-02 10:00:00,14.0,-0.1,38.0,,,190.0,11.2,,1022.0,,
2017-01-02 11:00:00,14.0,1.9,44.0,,,250.0,7.6,,1023.0,,
2017-01-02 12:00:00,11.6,4.6,62.0,,,350.0,3.6,,1024.0,,7.0
2017-01-02 13:00:00,11.0,4.0,62.0,,,130.0,13.0,,1025.0,,
2017-01-02 14:00:00,10.0,5.0,71.0,,,110.0,16.6,,,,
2017-01-02 15:00:00,8.6,5.3,80.0,,,60.0,3.6,,1026.0,,8.0
